,MatrikelNr,Nachname,Vorname,Kenntnisse,Erstwunsch,Zweitwunsch,Drittwunsch
0,3345880,Pierce,Henry,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_4,Project_8,Project_18
1,594162,Burdett,Leon,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# Python (Anfänger),Project_13,Project_9,Project_3
2,6828470,Royal,Samuel,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_5,Project_9,Project_10
3,6613078,Hall,Patti,Java (Fortgeschritten)# C++ (Anfänger),Project_13,Project_12,Project_17
4,1287525,Cunningham,Terry,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# Python (Anfänger),Project_2,Project_13,Project_4
5,5996168,Balzer,Daryl,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# JavaScript (Anfänger),Project_2,Project_4,Project_13
6,6650788,Garcia,Pedro,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_2,Project_18,Project_17
7,9902946,Mack,Kerry,Java (Anfänger)# HTML/CSS (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_13,Project_17,Project_8
8,2539957,Jenkins,Stephanie,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_4,Project_8,Project_18
9,9661753,Rivera,Denise,Java (Fortgeschritten)# C++ (Anfänger)# Python (Anfänger),Project_13,Project_6,Project_17
10,4017674,Kelly,Scott,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_9,Project_14,Project_13
11,1596972,Dunn,Michael,Java (Anfänger)# C++ (Anfänger),Project_12,Project_13,Project_10
12,4564812,Cadena,Nicole,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_13,Project_17,Project_10
13,3276835,Prater,John,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger),Project_13,Project_10,Project_19
14,1362779,Sutton,Miriam,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_2,Project_13,Project_18
15,1016297,Bugarin,Douglas,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger)# PHP (Anfänger),Project_12,Project_13,Project_18
16,6003425,Robinson,June,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_13,Project_2,Project_10
17,7163045,Gumm,Richard,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# C# (Experte)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_10,Project_19
18,1801447,Joyner,Leigh,Java (Anfänger)# C++ (Anfänger),Project_6,Project_4,Project_13
19,2974134,Hodosy,Harry,Java (Fortgeschritten)# C (Anfänger)# Python (Fortgeschritten),Project_2,Project_10,Project_13
20,1635818,Greer,John,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# Python (Anfänger)# JavaScript (Anfänger),Project_16,Project_4,Project_17
21,7258910,Lehnertz,Renee,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_11,Project_14,Project_2
22,271659,Copenhaver,Sun,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_13,Project_2,Project_10
23,4158743,Thomas,Lois,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# Python (Anfänger),Project_8,Project_2,Project_18
24,3647012,Campbell,Norman,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger)# PHP (Anfänger),Project_15,Project_11,Project_17
25,413156,Perham,Anderson,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Fortgeschritten),Project_8,Project_5,Project_13
26,3166525,Legros,Micheal,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# C# (Anfänger)# Python (Fortgeschritten),Project_13,Project_2,Project_10
27,2542474,Walters,Carrie,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger),Project_8,Project_2,Project_18
28,4289819,Partington,Jessie,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# Python (Fortgeschritten),Project_6,Project_2,Project_13
29,7925352,Kelly,Patricia,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger)# PHP (Anfänger),Project_17,Project_18,Project_7
30,7881890,Mcintyre,Betty,Java (Fortgeschritten)# C (Anfänger)# HTML/CSS (Fortgeschritten),Project_18,Project_2,Project_19
31,1935502,Reed,Katherine,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# JavaScript (Fortgeschritten),Project_6,Project_13,Project_17
32,8717527,Glenn,Kathleen,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# JavaScript (Fortgeschritten),Project_6,Project_13,Project_17
33,7810644,Jones,Frank,Java (Fortgeschritten)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_13,Project_12,Project_17
34,7251669,Thomas,Peter,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_10,Project_13,Project_17
35,9513498,Fleming,John,Java (Anfänger)# C++ (Anfänger),Project_13,Project_4,Project_5
36,4915008,Gambles,Christine,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_13,Project_15,Project_5
37,5056476,Robinson,Carol,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Fortgeschritten)# Python (Fortgeschritten)# JavaScript (Fortgeschritten)# PHP (Fortgeschritten),Project_2,Project_18,Project_4
38,1157060,Swain,Erika,Java (Anfänger)# HTML/CSS (Anfänger)# PHP (Anfänger),Project_13,Project_5,Project_2
39,9417523,Yu,Jody,Java (Anfänger)# C# (Anfänger),Project_4,Project_2,Project_13
40,2803693,Harris,John,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger),Project_13,Project_5,Project_2
41,7925830,Thies,Jessica,Java (Anfänger)# C++ (Anfänger),Project_13,Project_5,Project_10
42,9262403,Hilton,Lois,Java (Fortgeschritten)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Fortgeschritten)# Python (Anfänger)# JavaScript (Fortgeschritten)# PHP (Anfänger),Project_19,Project_18,Project_12
43,9282927,Gallagher,Cynthia,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger),Project_10,Project_13,Project_16
44,8295829,Hoff,Mary,Java (Anfänger)# C++ (Anfänger),Project_15,Project_3,Project_13
45,8358911,Jones,Ronald,Java (Anfänger)# C (Anfänger)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# JavaScript (Anfänger),Project_2,Project_4,Project_13
46,8138179,James,Sally,Java (Fortgeschritten)# C (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_8,Project_5,Project_13
47,8367159,Hale,Stephanie,Java (Fortgeschritten)# C (Fortgeschritten)# C++ (Fortgeschritten)# C# (Anfänger)# HTML/CSS (Anfänger)# Python (Fortgeschritten)# JavaScript (Anfänger),Project_18,Project_2,Project_10
48,6752431,Rodriguez,Mark,Java (Fortgeschritten)# C++ (Anfänger)# Python (Anfänger),Project_12,Project_13,Project_10
49,2868823,Masters,Catherine,Java (Anfänger),Project_4,Project_14,Project_7
50,7857238,Sherburne,Martha,Java (Fortgeschritten)# C (Anfänger)# HTML/CSS (Anfänger)# Python (Anfänger)# JavaScript (Anfänger),Project_13,Project_17,Project_10
51,57144,Byrd,Tiffany,Java (Fortgeschritten)# C++ (Fortgeschritten)# HTML/CSS (Anfänger)# Python (Anfänger),Project_16,Project_4,Project_17
52,2611843,Garcia,Sean,Java (Anfänger)# C (Anfänger)# C++ (Anfänger)# C# (Anfänger),Project_13,Project_10,Project_19
53,8486832,Nuzum,Tracy,Java (Anfänger)# C++ (Anfänger)# HTML/CSS (Anfänger),Project_15,Project_5,Project_2
54,5554121,Kirley,Frank,Java (Anfänger)# C++ (Anfänger)# Python (Anfänger),Project_6,Project_2,Project_13
